
Generation 0
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 0, 0, 1, 0, 1] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 1, 0, 0] 12
	 [0, 1, 0, 0, 0, 0, 0] 8
	 [0, 1, 1, 0, 0, 0, 0] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 1, 0, 0, 0, 1] 17

Generation 1
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 0, 0, 1, 0, 1] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 1, 0, 0] 12
	 [0, 1, 0, 0, 0, 0, 0] 8
	 [0, 1, 1, 0, 0, 0, 0] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 0, 0, 1] 11

Generation 2
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 0, 0, 1, 0, 1] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 1, 0, 0] 12
	 [1, 0, 0, 0, 1, 0, 0] 13
	 [0, 1, 1, 0, 0, 0, 0] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 0, 0, 1] 11
	 [0, 0, 1, 0, 0, 0, 1] 11

Generation 3
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 0, 0, 1, 0, 1] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 0, 0, 1, 0, 0] 13
	 [0, 1, 1, 0, 0, 0, 0] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 0, 0, 1] 11
	 [0, 0, 1, 0, 0, 0, 1] 11
	 [0, 0, 1, 0, 0, 0, 1] 11

Generation 4
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 0, 0, 1, 0, 1] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 0, 0, 1, 0, 0] 13
	 [0, 1, 1, 0, 0, 0, 0] 13
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [1, 0, 1, 0, 0, 0, 1] 17
	 [0, 0, 1, 0, 0, 0, 1] 11
	 [0, 0, 1, 0, 0, 0, 1] 11
